Month,Travellers
1980-01-01,823
1980-02-01,780
1980-03-01,1058
1980-04-01,1397
1980-05-01,1438
1980-06-01,1821
1980-07-01,1950
1980-08-01,2777
1980-09-01,2258
1980-10-01,1509
1980-11-01,1004
1980-12-01,690
1981-01-01,833
1981-02-01,818
1981-03-01,1067
1981-04-01,1521
1981-05-01,1559
1981-06-01,1828
1981-07-01,2177
1981-08-01,3143
1981-09-01,2547
1981-10-01,1812
1981-11-01,1006
1981-12-01,737
1982-01-01,962
1982-02-01,872
1982-03-01,1106
1982-04-01,1671
1982-05-01,1524
1982-06-01,2261
1982-07-01,2247
1982-08-01,3268
1982-09-01,2741
1982-10-01,2018
1982-11-01,1087
1982-12-01,854
1983-01-01,947
1983-02-01,875
1983-03-01,1156
1983-04-01,1616
1983-05-01,1646
1983-06-01,2142
1983-07-01,2677
1983-08-01,3187
1983-09-01,2711
1983-10-01,2027
1983-11-01,1098
1983-12-01,912
1984-01-01,1035
1984-02-01,885
1984-03-01,1336
1984-04-01,1717
1984-05-01,1828
1984-06-01,2436
1984-07-01,2480
1984-08-01,3150
1984-09-01,2968
1984-10-01,2054
1984-11-01,1235
1984-12-01,950
1985-01-01,1043
1985-02-01,872
1985-03-01,1365
1985-04-01,1644
1985-05-01,1651
1985-06-01,2288
1985-07-01,2277
1985-08-01,3150
1985-09-01,2830
1985-10-01,2050
1985-11-01,1424
1985-12-01,1014
1986-01-01,1129
1986-02-01,1004
1986-03-01,1572
1986-04-01,1607
1986-05-01,2116
1986-06-01,2620
1986-07-01,2865
1986-08-01,3740
1986-09-01,3318
1986-10-01,2457
1986-11-01,1465
1986-12-01,1055
1987-01-01,1305
1987-02-01,1292
1987-03-01,1644
1987-04-01,2074
1987-05-01,2391
1987-06-01,2849
1987-07-01,3148
1987-08-01,4041
1987-09-01,3462
1987-10-01,2540
1987-11-01,1603
1987-12-01,1098
1988-01-01,1406
1988-02-01,1384
1988-03-01,1679
1988-04-01,2080
1988-05-01,2133
1988-06-01,3130
1988-07-01,3326
1988-08-01,3967
1988-09-01,3729
1988-10-01,3077
1988-11-01,1695
1988-12-01,1224
1989-01-01,1724
1989-02-01,1627
1989-03-01,2055
1989-04-01,2211
1989-05-01,2478
1989-06-01,3263
1989-07-01,3353
1989-08-01,4392
1989-09-01,3878
1989-10-01,3006
1989-11-01,1647
1989-12-01,1398
1990-01-01,1808
1990-02-01,1532
1990-03-01,1925
1990-04-01,2535
1990-05-01,2468
1990-06-01,3216
1990-07-01,3392
1990-08-01,4285
1990-09-01,3799
1990-10-01,3091
1990-11-01,1884
1990-12-01,1215
1991-01-01,1695
1991-02-01,1429
1991-03-01,2024
1991-04-01,2703
1991-05-01,2317
1991-06-01,2896
1991-07-01,3323
1991-08-01,4301
1991-09-01,3734
1991-10-01,3072
1991-11-01,1929
1991-12-01,1386
1992-01-01,1879
1992-02-01,1800
1992-03-01,2391
1992-04-01,2912
1992-05-01,2993
1992-06-01,3098
1992-07-01,3645
1992-08-01,4479
1992-09-01,3937
1992-10-01,3146
1992-11-01,2075
1992-12-01,1477
1993-01-01,2047
1993-02-01,1995
1993-03-01,2572
1993-04-01,2761
1993-05-01,2968
1993-06-01,3692
1993-07-01,3845
1993-08-01,4826
1993-09-01,4216
1993-10-01,3793
1993-11-01,2240
1993-12-01,1767
1994-01-01,2036
1994-02-01,2117
1994-03-01,2618
1994-04-01,2993
1994-05-01,3330
1994-06-01,4118
1994-07-01,4161
1994-08-01,5114
1994-09-01,4620
1994-10-01,4037
1994-11-01,2387
1994-12-01,2099
1995-01-01,2267
1995-02-01,2207
1995-03-01,2712
1995-04-01,3359
1995-05-01,3486
1995-06-01,4148
1995-07-01,4356
1995-08-01,5055
1995-09-01,4616
1995-10-01,4242
1995-11-01,2536
1995-12-01,2362
1996-01-01,2253
1996-02-01,2314
1996-03-01,2965
1996-04-01,3325
1996-05-01,3299
1996-06-01,4118
1996-07-01,4143
1996-08-01,5178
1996-09-01,4569
1996-10-01,4405
1996-11-01,2975
1996-12-01,2509
1997-01-01,2541
1997-02-01,2582
1997-03-01,3031
1997-04-01,3359
1997-05-01,3910
1997-06-01,4619
1997-07-01,4580
1997-08-01,5736
1997-09-01,4865
1997-10-01,4556
1997-11-01,3459
1997-12-01,2719
1998-01-01,2817
1998-02-01,3035
1998-03-01,3327
1998-04-01,3818
1998-05-01,4604
1998-06-01,4820
1998-07-01,5139
1998-08-01,6188
1998-09-01,5648
1998-10-01,4910
1998-11-01,3661
1998-12-01,2906
1999-01-01,3183
1999-02-01,3051
1999-03-01,3645
1999-04-01,4243
1999-05-01,4605
1999-06-01,5726
1999-07-01,5391
1999-08-01,6526
1999-09-01,5822
1999-10-01,5424
1999-11-01,3465
1999-12-01,2801
2000-01-01,3019
2000-02-01,3341
2000-03-01,3782
2000-04-01,4569
2000-05-01,4693
2000-06-01,5532
2000-07-01,5931
2000-08-01,7030
2000-09-01,6275
2000-10-01,5706
2000-11-01,3746
2000-12-01,3213
2001-01-01,3533
2001-02-01,3362
